                A                               B
   SWx     SWy  Height   Width     SWx     SWy  Height   Width
 -2994   -5134       5       5   -2991   -5135       4       4
  7903   -4382       6       4    7895   -4384       5       5
 -2453   -6046       3       4   -2461   -6042       5       5
 -8714   -2687       4       4   -8716   -2689       8       8
 -1139   -4818       3      10   -1138   -4820       4       6
 -2710   -8591       5       5   -2709   -8588       6       6
  1456    1551      13       5    1461    1554       5       5
  2763   -8941       3       3    2762   -8937       5       5
   384    2174       8       8     386    2176       4       4
  5410   -6664       8       5    5413   -6662       4       4
