0133:  To
00cf:  announce
00b8:  that
009c:  there
00f8:  must
00c5:  be
0105:  no
0127:  criticism
00b3:  of
00df:  the
0030:  President,
00a4:  or
0045:  that
00a9:  we
00ff:  are
00da:  to
003d:  stand
0084:  by
0064:  the
0057:  President,
00e5:  right
00ca:  or
0093:  wrong,
00ae:  is
004c:  not
011b:  only
0002:  unpatriotic
00bf:  and
00ed:  servile,
010a:  but
0122:  is
0089:  morally
006a:  treasonable
0110:  to
0115:  the
0010:  American
001b:  public.
0052:  --
0025:  Theodore
0078:  Roosevelt

Number of words reported:   40
