, Broadcast 4
Count, time
       1, 2.270e-04
       2, 2.389e-04
       4, 1.729e-04
       8, 2.270e-04
      16, 2.329e-04
      32, 2.341e-04
      64, 3.450e-04
     128, 2.680e-04
     256, 3.321e-04
     512, 3.469e-04
    1024, 2.770e-04
    2048, 3.011e-04
    4096, 3.901e-04
    8192, 6.020e-04
   16384, 1.026e-03
   32768, 1.959e-03
   65536, 3.773e-03
  131072, 7.161e-03
  262144, 1.394e-02
  524288, 2.367e-02
, Broadcast 8
Count, time
       1, 2.780e-04
       2, 2.680e-04
       4, 2.339e-04
       8, 2.332e-04
      16, 2.408e-04
      32, 2.382e-04
      64, 2.570e-04
     128, 2.520e-04
     256, 2.789e-04
     512, 3.121e-04
    1024, 4.499e-04
    2048, 4.170e-04
    4096, 6.199e-04
    8192, 1.119e-03
   16384, 1.176e-03
   32768, 2.199e-03
   65536, 4.056e-03
  131072, 1.013e-02
  262144, 1.912e-02
  524288, 3.704e-02
, Broadcast  16
Count, time
       1, 3.762e-04
       2, 3.319e-04
       4, 2.642e-04
       8, 2.699e-04
      16, 2.699e-04
      32, 2.530e-04
      64, 2.592e-04
     128, 3.152e-04
     256, 3.111e-04
     512, 3.970e-04
    1024, 5.260e-04
    2048, 5.722e-04
    4096, 9.789e-04
    8192, 1.542e-03
   16384, 1.345e-03
   32768, 2.438e-03
   65536, 4.166e-03
  131072, 8.200e-03
  262144, 1.283e-02
  524288, 2.206e-02
, SendRecv  4
Count, time
       1, 1.960e-04
       2, 1.400e-04
       4, 6.819e-05
       8, 1.140e-04
      16, 7.200e-05
      32, 7.415e-05
      64, 7.820e-05
     128, 1.118e-04
     256, 1.240e-04
     512, 2.589e-04
    1024, 2.170e-04
    2048, 3.240e-04
    4096, 5.441e-04
    8192, 9.611e-04
   16384, 2.143e-03
   32768, 3.658e-03
   65536, 7.000e-03
  131072, 1.368e-02
  262144, 2.706e-02
  524288, 5.364e-02
, SendRecv  8
Count, time
       1, 2.089e-04
       2, 2.129e-04
       4, 2.148e-04
       8, 1.309e-04
      16, 1.140e-04
      32, 1.180e-04
      64, 1.209e-04
     128, 1.619e-04
     256, 1.969e-04
     512, 2.720e-04
    1024, 4.129e-04
    2048, 6.561e-04
    4096, 1.160e-03
    8192, 2.123e-03
   16384, 4.256e-03
   32768, 8.137e-03
   65536, 1.595e-02
  131072, 3.169e-02
  262144, 6.277e-02
  524288, 1.252e-01
, SendRecv  16
Count, time
       1, 3.331e-04
       2, 3.009e-04
       4, 2.861e-04
       8, 2.589e-04
      16, 2.680e-04
      32, 2.580e-04
      64, 2.940e-04
     128, 3.009e-04
     256, 3.610e-04
     512, 5.009e-04
    1024, 7.892e-04
    2048, 1.313e-03
    4096, 2.374e-03
    8192, 4.430e-03
   16384, 8.789e-03
   32768, 1.713e-02
   65536, 3.378e-02
  131072, 6.738e-02
  262144, 1.340e-01
  524288, 2.677e-01
