, inter-node,
mpirun -np 4 -npernode 1 -hostfile ../nodes ./q1b
Count, mintime, bandwidth
       1, 1.869e-04, 2.041e-02
       2, 1.829e-04, 4.172e-02
       4, 1.791e-04, 8.522e-02
       8, 1.719e-04, 1.775e-01
      16, 1.650e-04, 3.699e-01
      32, 1.409e-04, 8.663e-01
      64, 1.409e-04, 1.733e+00
     128, 1.409e-04, 3.465e+00
     256, 1.409e-04, 6.931e+00
     512, 1.409e-04, 1.386e+01
    1024, 1.409e-04, 2.772e+01
    2048, 1.409e-04, 5.545e+01
    4096, 1.409e-04, 1.109e+02
    8192, 1.409e-04, 2.218e+02
   16384, 1.409e-04, 4.436e+02
   32768, 1.409e-04, 8.871e+02
   65536, 1.409e-04, 1.774e+03
  131072, 1.409e-04, 3.548e+03
  262144, 1.409e-04, 7.097e+03
  524288, 1.409e-04, 1.419e+04
, intra-node,
mpirun -np 4 -npernode 4 -hostfile ../nodes ./q1b
Count, mintime, bandwidth
       1, 1.907e-06, 2.000e+00
       2, 1.907e-06, 4.000e+00
       4, 1.907e-06, 8.000e+00
       8, 1.907e-06, 1.600e+01
      16, 1.907e-06, 3.200e+01
      32, 1.907e-06, 6.400e+01
      64, 1.907e-06, 1.280e+02
     128, 1.907e-06, 2.560e+02
     256, 1.907e-06, 5.120e+02
     512, 1.907e-06, 1.024e+03
    1024, 1.907e-06, 2.048e+03
    2048, 1.907e-06, 4.096e+03
    4096, 1.907e-06, 8.192e+03
    8192, 1.907e-06, 1.638e+04
   16384, 1.907e-06, 3.277e+04
   32768, 1.907e-06, 6.554e+04
   65536, 1.907e-06, 1.311e+05
  131072, 1.907e-06, 2.621e+05
  262144, 1.907e-06, 5.243e+05
  524288, 1.907e-06, 1.049e+06
