Reduce
,4-4
       1, 2.861e-06
       2, 3.815e-06
       4, 2.861e-06
       8, 2.861e-06
      16, 2.861e-06
      32, 4.053e-06
      64, 4.053e-06
     128, 3.099e-06
     256, 4.768e-06
     512, 6.914e-06
    1024, 9.775e-06
    2048, 1.478e-05
    4096, 3.600e-05
    8192, 5.913e-05
   16384, 1.030e-04
   32768, 1.929e-04
   65536, 3.679e-04
  131072, 6.518e-04
  262144, 1.272e-03
  524288, 3.053e-03
 1048576, 6.778e-03
,4-8
       1, 5.960e-06
       2, 2.098e-05
       4, 6.914e-06
       8, 6.914e-06
      16, 6.914e-06
      32, 5.007e-06
      64, 6.199e-06
     128, 4.101e-05
     256, 3.815e-05
     512, 7.296e-05
    1024, 1.390e-04
    2048, 5.970e-04
    4096, 1.188e-03
    8192, 2.295e-03
   16384, 4.548e-03
   32768, 2.378e-03
   65536, 4.513e-03
  131072, 9.083e-03
  262144, 2.148e-02
  524288, 4.296e-02
 1048576, 8.564e-02
,4-16
       1, 1.390e-04
       2, 1.490e-04
       4, 3.886e-05
       8, 4.911e-05
      16, 1.609e-04
      32, 1.049e-04
      64, 1.209e-04
     128, 3.982e-05
     256, 7.391e-05
     512, 1.788e-04
    1024, 2.630e-04
    2048, 3.562e-04
    4096, 6.590e-04
    8192, 9.720e-04
   16384, 1.573e-03
   32768, 1.591e-02
   65536, 5.644e-03
  131072, 1.022e-02
  262144, 1.923e-02
  524288, 3.723e-02
 1048576, 1.155e-01
,4-24
       1, 2.370e-04
       2, 1.869e-04
       4, 2.089e-04
       8, 1.879e-04
      16, 2.232e-04
      32, 1.791e-04
      64, 2.270e-04
     128, 2.060e-04
     256, 2.940e-04
     512, 3.660e-04
    1024, 4.659e-04
    2048, 6.299e-04
    4096, 1.057e-03
    8192, 2.632e-03
   16384, 4.748e-03
   32768, 9.196e-03
   65536, 3.639e-02
  131072, 1.128e-02
  262144, 2.044e-02
  524288, 3.853e-02
 1048576, 1.093e-01
All Reduce
,4-4
       1, 3.815e-06
       2, 5.007e-06
       4, 4.053e-06
       8, 4.053e-06
      16, 3.815e-06
      32, 4.053e-06
      64, 5.007e-06
     128, 5.960e-06
     256, 5.960e-06
     512, 1.192e-05
    1024, 1.597e-05
    2048, 3.195e-05
    4096, 4.387e-05
    8192, 6.795e-05
   16384, 1.299e-04
   32768, 2.818e-04
   65536, 5.751e-04
  131072, 1.142e-03
  262144, 2.690e-03
  524288, 7.356e-03
 1048576, 1.582e-02
,4-8
       1, 1.111e-04
       2, 7.296e-05
       4, 9.394e-05
       8, 9.012e-05
      16, 8.798e-05
      32, 1.080e-04
      64, 1.061e-04
     128, 1.328e-04
     256, 1.731e-04
     512, 2.708e-04
    1024, 3.998e-04
    2048, 5.469e-04
    4096, 8.020e-04
    8192, 1.095e-03
   16384, 2.085e-03
   32768, 4.057e-03
   65536, 9.367e-03
  131072, 1.926e-02
  262144, 4.375e-02
  524288, 7.198e-02
 1048576, 1.418e-01
,4-16
       1, 2.120e-04
       2, 1.872e-04
       4, 1.459e-04
       8, 1.919e-04
      16, 1.869e-04
      32, 1.709e-04
      64, 1.690e-04
     128, 2.339e-04
     256, 3.221e-04
     512, 4.621e-04
    1024, 7.699e-04
    2048, 9.589e-04
    4096, 1.322e-03
    8192, 1.651e-03
   16384, 2.158e-03
   32768, 4.371e-03
   65536, 8.637e-03
  131072, 2.682e-02
  262144, 4.969e-02
  524288, 9.004e-02
 1048576, 1.694e-01
,4-24
       1, 3.922e-04
       2, 2.720e-04
       4, 3.040e-04
       8, 2.780e-04
      16, 2.880e-04
      32, 3.700e-04
      64, 3.269e-04
     128, 3.760e-04
     256, 4.609e-04
     512, 6.011e-04
    1024, 9.389e-04
    2048, 1.407e-03
    4096, 2.028e-03
    8192, 2.436e-03
   16384, 2.748e-03
   32768, 4.504e-03
   65536, 8.794e-03
  131072, 1.767e-02
  262144, 4.899e-02
  524288, 9.031e-02
 1048576, 1.827e-01
