, All gather 4
Count, Time
       1, 1.907e-06
       2, 1.907e-06
       4, 4.053e-06
       8, 3.815e-06
      16, 3.815e-06
      32, 3.815e-06
      64, 4.053e-06
     128, 4.053e-06
     256, 5.960e-06
     512, 5.960e-06
    1024, 1.097e-05
    2048, 1.693e-05
    4096, 2.885e-05
    8192, 5.293e-05
   16384, 1.040e-04
   32768, 2.110e-04
   65536, 4.160e-04
  131072, 8.349e-04
  262144, 1.674e-03
  524288, 3.441e-03
 1048576, 8.632e-03
, All gather 8
Count, Time
       1, 6.914e-05
       2, 5.293e-05
       4, 4.292e-05
       8, 7.987e-05
      16, 8.392e-05
      32, 9.394e-05
      64, 1.040e-04
     128, 1.068e-04
     256, 1.171e-04
     512, 1.640e-04
    1024, 2.632e-04
    2048, 4.129e-04
    4096, 7.010e-04
    8192, 7.420e-04
   16384, 1.319e-03
   32768, 3.877e-03
   65536, 7.392e-03
  131072, 1.454e-02
  262144, 3.642e-02
  524288, 7.096e-02
 1048576, 1.279e-01
, All gather 16
Count, Time
       1, 9.108e-05
       2, 1.040e-04
       4, 1.409e-04
       8, 1.068e-04
      16, 1.822e-04
      32, 2.031e-04
      64, 1.991e-04
     128, 2.170e-04
     256, 2.389e-04
     512, 2.990e-04
    1024, 4.179e-04
    2048, 6.790e-04
    4096, 1.077e-03
    8192, 9.980e-04
   16384, 1.404e-03
   32768, 2.595e-03
   65536, 9.272e-03
  131072, 1.621e-02
  262144, 3.404e-02
  524288, 7.847e-02
 1048576, 1.494e-01
, All gather 24
Count, Time
       1, 1.700e-04
       2, 1.209e-04
       4, 1.490e-04
       8, 1.230e-04
      16, 1.390e-04
      32, 3.011e-04
      64, 2.761e-04
     128, 2.999e-04
     256, 3.791e-04
     512, 4.482e-04
    1024, 5.710e-04
    2048, 8.299e-04
    4096, 1.376e-03
    8192, 1.116e-03
   16384, 1.693e-03
   32768, 3.011e-03
   65536, 5.382e-03
  131072, 1.855e-02
  262144, 3.612e-02
  524288, 7.624e-02
 1048576, 1.420e-01
, Gather 4
Count, Time
       1, 2.861e-06
       2, 3.099e-06
       4, 5.007e-06
       8, 5.007e-06
      16, 5.007e-06
      32, 5.007e-06
      64, 5.960e-06
     128, 6.914e-06
     256, 9.775e-06
     512, 1.192e-05
    1024, 1.788e-05
    2048, 3.219e-05
    4096, 5.698e-05
    8192, 1.030e-04
   16384, 1.919e-04
   32768, 3.779e-04
   65536, 6.969e-04
  131072, 1.366e-03
  262144, 2.053e-03
  524288, 4.095e-03
 1048576, 9.758e-03
, Gather 8
Count, Time
       1, 9.704e-05
       2, 8.988e-05
       4, 9.322e-05
       8, 1.500e-04
      16, 1.619e-04
      32, 1.750e-04
      64, 1.900e-04
     128, 2.060e-04
     256, 2.081e-04
     512, 3.080e-04
    1024, 4.590e-04
    2048, 7.598e-04
    4096, 1.323e-03
    8192, 2.548e-03
   16384, 4.894e-03
   32768, 9.443e-03
   65536, 1.791e-02
  131072, 3.598e-02
  262144, 7.095e-02
  524288, 5.934e-02
 1048576, 1.184e-01
, Gather 16
Count, Time
       1, 1.860e-04
       2, 1.838e-04
       4, 1.960e-04
       8, 1.819e-04
      16, 3.819e-04
      32, 3.300e-04
      64, 3.989e-04
     128, 3.469e-04
     256, 4.261e-04
     512, 5.410e-04
    1024, 7.901e-04
    2048, 1.112e-03
    4096, 1.927e-03
    8192, 3.596e-03
   16384, 7.327e-03
   32768, 1.434e-02
   65536, 9.004e-03
  131072, 1.719e-02
  262144, 3.362e-02
  524288, 6.607e-02
 1048576, 1.562e-01
, Gather 24
Count, Time
       1, 1.791e-04
       2, 2.010e-04
       4, 2.110e-04
       8, 2.151e-04
      16, 2.441e-04
      32, 3.211e-04
      64, 3.560e-04
     128, 3.960e-04
     256, 5.510e-04
     512, 6.111e-04
    1024, 8.430e-04
    2048, 1.244e-03
    4096, 1.906e-03
    8192, 3.718e-03
   16384, 7.533e-03
   32768, 1.571e-02
   65536, 9.907e-03
  131072, 1.834e-02
  262144, 3.548e-02
  524288, 6.981e-02
 1048576, 1.382e-01
