, All gather 4
Count, Time
       1, 1.907e-06
       2, 9.537e-07
       4, 2.861e-06
       8, 2.861e-06
      16, 2.861e-06
      32, 2.861e-06
      64, 3.099e-06
     128, 3.099e-06
     256, 3.815e-06
     512, 4.053e-06
    1024, 8.821e-06
    2048, 1.097e-05
    4096, 1.597e-05
    8192, 2.599e-05
   16384, 5.007e-05
   32768, 1.049e-04
   65536, 2.041e-04
  131072, 4.070e-04
  262144, 8.290e-04
  524288, 1.783e-03
 1048576, 4.799e-03
, All gather 8
Count, Time
       1, 3.505e-05
       2, 9.084e-05
       4, 8.893e-05
       8, 1.061e-04
      16, 8.583e-05
      32, 1.111e-04
      64, 1.059e-04
     128, 1.330e-04
     256, 1.540e-04
     512, 1.860e-04
    1024, 2.682e-04
    2048, 4.051e-04
    4096, 6.979e-04
    8192, 6.881e-04
   16384, 1.259e-03
   32768, 3.220e-03
   65536, 6.376e-03
  131072, 1.426e-02
  262144, 3.471e-02
  524288, 6.958e-02
 1048576, 1.404e-01
, All gather 16
Count, Time
       1, 1.287e-05
       2, 4.816e-05
       4, 3.481e-05
       8, 4.411e-05
      16, 1.509e-04
      32, 1.731e-04
      64, 1.881e-04
     128, 1.879e-04
     256, 2.160e-04
     512, 2.749e-04
    1024, 3.910e-04
    2048, 5.889e-04
    4096, 1.026e-03
    8192, 9.179e-04
   16384, 1.518e-03
   32768, 2.496e-03
   65536, 8.637e-03
  131072, 1.565e-02
  262144, 3.402e-02
  524288, 6.428e-02
 1048576, 1.388e-01
, All gather 24
Count, Time
       1, 8.798e-05
       2, 1.130e-04
       4, 1.349e-04
       8, 7.510e-05
      16, 1.211e-04
      32, 2.859e-04
      64, 2.890e-04
     128, 3.150e-04
     256, 3.259e-04
     512, 3.819e-04
    1024, 5.550e-04
    2048, 7.432e-04
    4096, 1.213e-03
    8192, 9.840e-04
   16384, 1.425e-03
   32768, 2.559e-03
   65536, 4.876e-03
  131072, 1.622e-02
  262144, 3.386e-02
  524288, 7.224e-02
 1048576, 2.174e-01
, Gather 4
Count, Time
       1, 2.861e-06
       2, 2.861e-06
       4, 4.053e-06
       8, 5.007e-06
      16, 5.007e-06
      32, 4.768e-06
      64, 4.768e-06
     128, 5.007e-06
     256, 5.960e-06
     512, 9.060e-06
    1024, 1.311e-05
    2048, 2.217e-05
    4096, 3.695e-05
    8192, 6.294e-05
   16384, 1.111e-04
   32768, 2.062e-04
   65536, 3.591e-04
  131072, 6.859e-04
  262144, 1.146e-03
  524288, 2.803e-03
 1048576, 6.591e-03
, Gather 8
Count, Time
       1, 1.101e-04
       2, 1.080e-04
       4, 9.608e-05
       8, 1.740e-04
      16, 1.822e-04
      32, 1.810e-04
      64, 1.850e-04
     128, 2.110e-04
     256, 1.540e-04
     512, 2.329e-04
    1024, 3.772e-04
    2048, 7.300e-04
    4096, 1.292e-03
    8192, 2.528e-03
   16384, 4.857e-03
   32768, 9.329e-03
   65536, 1.718e-02
  131072, 3.549e-02
  262144, 6.945e-02
  524288, 5.789e-02
 1048576, 1.153e-01
, Gather 16
Count, Time
       1, 1.969e-04
       2, 2.122e-04
       4, 1.969e-04
       8, 1.750e-04
      16, 3.121e-04
      32, 3.340e-04
      64, 3.510e-04
     128, 3.431e-04
     256, 3.600e-04
     512, 4.971e-04
    1024, 7.491e-04
    2048, 1.094e-03
    4096, 1.900e-03
    8192, 3.565e-03
   16384, 7.224e-03
   32768, 1.347e-02
   65536, 8.763e-03
  131072, 1.666e-02
  262144, 3.273e-02
  524288, 6.890e-02
 1048576, 1.599e-01
, Gather 24
Count, Time
       1, 2.069e-04
       2, 2.251e-04
       4, 2.248e-04
       8, 2.279e-04
      16, 2.439e-04
      32, 3.221e-04
      64, 3.099e-04
     128, 3.970e-04
     256, 5.181e-04
     512, 6.418e-04
    1024, 8.459e-04
    2048, 1.282e-03
    4096, 2.073e-03
    8192, 3.897e-03
   16384, 7.724e-03
   32768, 1.624e-02
   65536, 9.950e-03
  131072, 4.034e-02
  262144, 6.890e-02
  524288, 1.270e-01
 1048576, 2.160e-01
